,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Human Oligodendrocytes.4,-1387.6917,-1486.8885,560.2278,379.37634,1552.6692,-728.48254,-773.34106,746.51654,-1069.2275,-63.471684,-146.6158,401.1742,-358.7914,-97.98477,19.360159,-595.09784,219.63295,390.26938,-404.74622,-12.237138,-454.17896,55.074947,-226.33958,-70.39055,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
Human Microglia/Macrophage,-4406.3477,-1376.7501,472.82092,2205.7085,-849.765,-120.220055,743.6812,940.91754,790.30164,648.7326,422.08878,103.83379,-450.2365,1702.8599,-662.4261,-646.5904,-576.07526,-740.9048,5.698407,-36.022892,-258.01096,-266.84583,576.53876,-104.12707,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Human Microglia/Macrophage.1,-4443.0303,-986.6491,375.03934,7158.783,-1408.0674,873.92883,1373.2739,257.34866,-316.83646,139.64902,570.4778,-270.80493,-441.84808,649.29083,-170.7533,-692.91644,-396.89328,29.956934,-400.0435,122.57005,189.09431,-133.43018,8.064365,-56.189465,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Microglia/Macrophage.2,-4440.8223,-612.67303,354.653,11335.983,-2240.918,2593.8323,3016.183,348.61807,678.4912,-457.91956,-478.25443,138.92159,-284.1314,-896.6574,-17.151583,708.4134,414.6478,165.73242,204.75746,-26.337234,-163.26427,122.206535,-133.14815,61.35067,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Human Endothelial,-4273.157,-1463.3837,930.9316,-204.23898,-257.05948,-1345.3956,-64.479645,444.58124,-280.7275,-604.3233,335.53464,-230.47392,1.6102474,243.01614,101.7888,-316.00974,-198.00082,291.00507,-243.80362,301.16998,364.58377,287.20242,-483.95142,143.20055,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
Human Endothelial.1,-4126.739,-1475.643,895.1135,-699.9442,-304.3381,-1217.5298,266.33096,468.921,269.8559,-783.18506,59.70485,-223.09004,70.88705,251.7017,-113.79138,-10.124168,-329.14157,88.53395,13.341073,245.40938,-131.59717,321.47034,-410.19586,233.7197,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
Human whole cortex,-4089.0217,-1545.7201,603.7797,-1173.7208,-239.91039,-1073.9696,467.9781,677.0362,832.1701,-880.4684,-390.76712,233.09981,-178.87686,244.36685,-100.68466,111.71331,104.721954,-13.236769,33.469025,45.872437,-36.025192,203.70413,-15.235422,34.12062,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
Human whole cortex.1,-4362.326,-1584.6293,479.75165,-1247.006,-355.06317,-1149.0402,184.70157,973.22375,1314.5784,-1001.8202,-621.4685,800.64844,-284.63727,26.5511,189.72197,-347.28937,795.13525,19.483318,-231.39041,-135.48935,161.80324,-318.25946,126.66064,-79.43634,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
Human whole cortex.2,-4317.846,-1550.7015,585.68286,-1235.9838,-386.2735,-921.2595,406.64673,572.69586,856.50104,-846.8659,-385.6231,303.45038,-193.39194,188.76173,-49.97281,-22.06225,246.64473,-18.133352,70.04653,17.37348,31.853392,108.275116,-31.727167,65.775894,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
Human whole cortex.3,-4356.8213,-1577.5463,508.12512,-1259.7684,-363.35474,-1084.7299,232.23795,806.4886,1144.9951,-1088.2772,-566.37805,662.06647,-255.34459,56.653378,134.00882,-238.75368,661.26514,0.35248908,-223.99246,-115.92101,100.067566,-244.82153,99.82737,-72.70154,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
Mouse astrocytes-FACS,-4392.125,-2239.1653,-2029.7924,-444.23914,-453.01633,9.148278,-507.41595,5.3805857,276.9339,-895.16473,221.77838,-118.8253,41.161335,213.1507,-313.79736,499.73944,-380.88898,-5.2750506,-151.62888,1023.11847,-362.4019,246.38536,-127.00359,-335.59482,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
Mouse astrocytes-FACS.1,-4433.42,-2468.32,-2375.1997,-729.4404,-898.9577,818.4264,-684.9274,1886.1008,2205.2803,2106.3206,132.00511,688.256,-40.160793,-32.474903,121.468216,-189.7905,229.81883,216.92906,182.29074,294.14014,41.796455,143.17114,-415.55167,44.92316,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
Mouse astrocytes-immunopanned,-2887.3242,-596.47656,-1723.932,-1329.2427,-1224.0685,2190.2627,187.51303,1772.5112,-854.9648,-525.2543,164.94695,-357.28854,-118.56025,-33.83168,106.99564,-114.87235,-10.01048,-152.59605,228.16013,-637.37756,-11.0491905,-166.8803,-242.17516,-385.0817,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
Mouse astrocytes-immunopanned.1,-3769.7654,-253.13484,-1615.0095,-1077.9712,-831.7785,1586.7777,73.49094,1349.0623,-1087.7178,-1284.4801,181.3584,-491.33017,-81.97962,110.55266,132.24983,205.15721,-223.3392,-125.59933,4.868144,-329.81232,-60.251617,20.766865,-23.353127,-222.69254,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse astrocytes-immunopanned.2,-3337.0046,-653.2832,-1963.903,-1308.0898,-1273.255,2149.6143,-53.221893,2301.1538,442.3772,1164.2798,306.94324,334.4279,88.8757,-100.683426,330.31793,43.572323,201.3216,421.53952,-129.68951,669.6152,90.76908,-84.947945,200.51657,225.5393,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
Mouse astrocytes-immunopanned.3,-2971.779,-24.840155,-1408.0358,-1201.4513,-1082.3137,2121.1387,134.89635,1991.7332,-1353.1864,-1091.0304,83.56136,-516.09033,80.429535,79.44582,349.95642,79.15467,-141.79968,-120.647125,-2.2929435,-437.94293,54.014004,-5.855224,301.82092,327.85397,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Mouse neurons,-4299.879,-2798.655,-534.02765,-88.937256,506.00162,-1984.6792,1650.796,-902.9479,29.82962,550.07294,-1337.7675,-335.43945,-656.0857,554.9543,358.61063,371.39417,-306.2503,648.1229,-11.106893,-178.62968,-8.985468,-367.3831,-123.164314,91.79386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
Mouse neurons.1,-4300.4775,-2541.6719,-476.04852,-119.24341,469.65692,-1863.8566,1664.5023,-938.8704,-127.44811,387.94452,-1347.7645,-349.5614,-577.2627,612.9706,206.5206,272.30887,-369.15372,868.81433,89.056656,-269.6104,-14.083643,-430.82736,-98.69706,12.449329,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Mouse oligodendrocytes,-4120.692,18.243938,-840.5199,-370.30237,343.96643,-697.04285,1266.8993,-636.714,-165.59082,-446.76456,1108.8794,1040.2314,516.5469,-205.9595,-1173.3867,-76.49439,-51.965065,207.63295,70.73474,-282.54022,0.9101092,-10.811163,-106.92097,-254.9401,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
